VARNAME	VARDESC	DOCFILE	TYPE	UNITS	MIN	MAX	RESOLUTION	COMMENT1	COMMENT2	VARIABLE_SOURCE	SOURCE_VARIABLE_ID	UNIQUEKEY	COLLINTERVAL	VARIABLE_MAPPING	ORDER	VALUES
SUBJECT_ID	PARTICIPANT ID	ReadingCenter_EDC_LensVariableNames.pdf	string									X																		
PROTSEG	SEGMENT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value									X				A=Screening	B=Post-Randomization Follow-up													
VISNO	VISIT NUMBER	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Code for visit at which these images were taken				X				00=Qualification Visit	01=Randomization Visit	02=3-Month Telephone	03=6-Month Telephone	04=1 Year In-clinic	05=1.5 Year Telephone	06=2 Year In-clinic	07=2.5 Year Telephone	08=3 Year In-clinic	09=3.5 Year Telephone	10=4 Year In-clinic	11=4.5 Year Telephone	12=5 Year In-clinic	13=5.5 Year Telephone	14=6 Year In-clinic
REDREF	REDREFLEXPRESENCE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Red reflex								0=Absent	2=Present													
IRISCO	IRISPIGMENTATION	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Iris pigmentation								1=<= Standard 1	2=<= Standard 2	3=<= Standard 3	4=> Standard 3	8=Cannot grade	9=Not applicable									
IRISNEO	IRISNEOVASCULARIZATION	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Iris neovascularization								9=Not applicable														
LENSSTAT	LENSSTATUS	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Lens status								0=Pseudophakic/Aphakic	2=Phakic	8=Cannot grade												
OPACGRAD	OPACITYGRADINGFROM	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Opacity grading from								1=Red reflex	8=Cannot grade	9=Not applicable												
RRGRDNUM	REDREFLEXGRIDNUMBER	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Red reflex grid number								0=Digital image	4 - 27=Red Reflex Grid Number	88=Cannot Grade	99=Not applicable											
RRPUPDIH	REDREFLEXGRIDPUPILDIAMETERHORIZONTAL	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters	2	13										2.0 - 13.0 mm	88.8=Cannot grade	99.9=Not applicable												
RRPUPDIV	REDREFLEXGRIDPUPILDIAMETERVERTICAL	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters	2	13										2.0 - 13.0 mm	88.8=Cannot grade	99.9=Not applicable												
NZANTER	NEITZANTERIOR	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Neitz anterior								9=Not applicable														
NZPOSTER	NEITZPOSTERIOR	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Neitz posterior								9=Not applicable														
NZPUPDIH	NEITZGRIDPUPILDIAMETERHOR	ReadingCenter_EDC_LensVariableNames.pdf	encoded value													99.9=Not applicable														
NZPUPDIV	NEITZGRIDPUPILDIAMETERVERT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value													99.9=Not applicable														
LENSOPAC	LENSOPACITIES	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Lens opacities								0=Absent	1=Questionable	2=Present	8=Cannot grade	9=Not applicable										
CORTOPAC	CORTICALOPACITIESPRESENT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Cortical opacities								0=Absent	1=Questionable	2=Present	8=Cannot grade	9=Not applicable										
COCENTER	CORTICALOPACITIESWITHINGRID_CENTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR1AIN	CORTICALOPACITIESWITHINGRID_1A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR1BIN	CORTICALOPACITIESWITHINGRID_1B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR2AIN	CORTICALOPACITIESWITHINGRID_2A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR2BIN	CORTICALOPACITIESWITHINGRID_2B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR3AIN	CORTICALOPACITIESWITHINGRID_3A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR3BIN	CORTICALOPACITIESWITHINGRID_3B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR4AIN	CORTICALOPACITIESWITHINGRID_4A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR4BIN	CORTICALOPACITIESWITHINGRID_4B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR1AOU	CORTICALOPACITIESWITHINGRID_1A_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR1BOU	CORTICALOPACITIESWITHINGRID_1B_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR2AOU	CORTICALOPACITIESWITHINGRID_2A_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR2BOU	CORTICALOPACITIESWITHINGRID_2B_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR3AOU	CORTICALOPACITIESWITHINGRID_3A_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR3BOU	CORTICALOPACITIESWITHINGRID_3B_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR4AOU	CORTICALOPACITIESWITHINGRID_4A_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
COGR4BOU	CORTICALOPACITIESWITHINGRID_4B_OUTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent Cortical Opacities	0	100										0 - 100=% Cortical opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSCPRES	PSC_PRESENT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Posterior subcapsular cataract (PSC) present								0=Absent	1=Questionable	2=Present	8=Cannot grade	9=Not applicable										
PSCCENT	PSC_WITHINGRID_CENTER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR1AIN	PSC_WITHINGRID_1A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR1BIN	PSC_WITHINGRID_1B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR2AIN	PSC_WITHINGRID_2A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR2BIN	PSC_WITHINGRID_2B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR3AIN	PSC_WITHINGRID_3A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR3BIN	PSC_WITHINGRID_3B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR4AIN	PSC_WITHINGRID_4A_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
PSGR4BIN	PSC_WITHINGRID_4B_INNER	ReadingCenter_EDC_LensVariableNames.pdf	integer, encoded value	Percent PSC Opacities	0	100										0 - 100=% PSC opacities	111=Questionable	888=Cannot grade	999=Not applicable											
VACUOLES	VACUOLES	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Vacuoles								9=Not applicable														
WACOS	WACOS	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					White anterior cortical opacities (WACOs)								9=Not applicable														
PSEUDO	PSEUDOEXFOLIATION	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Pseudoexfoliation								9=Not applicable														
MITTEN	MITTENDORFDOT	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Mittendorf dot								9=Not applicable														
OTHROPAC	OTHEROPACITIES	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Other opacities								0=Absent	1=Questionable	2=Present	8=Cannot grade	9=Not applicable										
SLPRESEN	SLITLAMPPRESENCE	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Slit lamp presence								9=Not applicable														
NUCCOLOR	NUCLEARCOLOR	ReadingCenter_EDC_LensVariableNames.pdf	encoded value					Nuclear color								9=Not applicable														
NUCSCLER	NUCLEARSCLEROSIS	ReadingCenter_EDC_LensVariableNames.pdf	encoded value													9.9=Not applicable														
PUPILDIA	MEANPUPILDIAMETER	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters	2	13										2.00 - 13.00 mm	88.88=Cannot grade	99.99=Not applicable												
RADIUS	RADIUS	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters	1	6.5										1.00 – 6.50 mm	88.88=Cannot grade	99.99=Not applicable												
COCCRAD1	AREAOFCO_INCCWHENRADIUSGE1	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	3.14										0.00 - 3.14 mm²	888.88=Cannot grade	999.99=Not applicable												
COCENTRL	AREAOFCO_INCENTRALZONE	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	19.63										0.00 - 19.63 mm²	888.88=Cannot grade	999.99=Not applicable												
COTOTAL	AREAOFTOTALCORTICALOPACITY	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	132.73										0.00 - 132.73 mm²	888.88=Cannot grade	999.99=Not applicable												
PSCCRAD1	AREAOF_PSC_INCCWHENRADIUSGE1	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	3.14										0.00 - 3.14 mm²	888.88=Cannot grade	999.99=Not applicable												
PSCENTRL	AREAOF_PSC_INCENTRALZONE	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	19.63										0.00 - 19.63 mm²	888.88=Cannot grade	999.99=Not applicable												
DICENTER	DILATIONCENTERCIRCLEAREA	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	3.14	3.14										3.14 mm²	888.88=Cannot grade	999.99=Not applicable												
DICENTRL	DILATIONCENTRALZONEAREA	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	3.14	19.63										3.14 - 19.63 mm²	888.88=Cannot grade	999.99=Not applicable												
DITOTAL	DILATIONTOTALAREA	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	3.14	132.73										3.14 - 132.73 mm²	888.88=Cannot grade	999.99=Not applicable												
UNCOCENT	AREAUNGRADABLEFOR_CO_INCENTRALZONE	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	19.63										0.00 - 19.63 mm²	888.88=Cannot grade	999.99=Not applicable												
UNTOTLCO	AREAUNGRADABLEFORTOTALCORTICALOPACITY	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	132.73										0.00 - 132.73 mm²	888.88=Cannot grade	999.99=Not applicable												
UNPSCENT	AREAUNGRADABLEFOR_PSC_INCENTRALZONE	ReadingCenter_EDC_LensVariableNames.pdf	decimal, encoded value	Millimeters Squared	0	19.63										0.00 - 19.63 mm²	888.88=Cannot grade	999.99=Not applicable												
