concept_path,concept_cd
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-8) Aneurysm of other specifi~/(442-81) Aneurysm of artery of ne~/,ICD9:442.81
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-8) Aneurysm of other specifi~/(442-82) Aneurysm of subclavian a~/,ICD9:442.82
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-8) Aneurysm of other specifi~/(442-83) Aneurysm of splenic arte~/,ICD9:442.83
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(442) Other aneurysm/(442-9) Aneurysm of unspecified s~/,ICD9:442.9
/Diagnoses/Circulatory system (390-459)/Ischemic heart disease (410-414)/(413) Angina pectoris/,ICD9:413
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/,ICD9:443
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/,ICD9:443.2
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/(443-21) Dissection of caroti~/,ICD9:443.21
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/(443-22) Dissection of iliac ar~/,ICD9:443.22
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/(443-23) Dissection of renal artery/,ICD9:443.23
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/(443-24) Dissection of verte~/,ICD9:443.24
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-2) Other arterial dissection/(443-29) Dissection of other a~/,ICD9:443.29
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-8) Other specified periphera~/,ICD9:443.8
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(443) Other peripheral vascular d~/(443-8) Other specified periphera~/(443-81) Peripheral angiopathy in~/,ICD9:443.81
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(444) Arterial embolism and throm~/(444-1) Embolism and thrombosis o~/,ICD9:444.1
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(444) Arterial embolism and throm~/(444-2) Embolism and thrombosis o~/(444-21) Arterial embolism and th~/,ICD9:444.21
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(444) Arterial embolism and throm~/(444-2) Embolism and thrombosis o~/(444-22) Arterial embolism and th~/,ICD9:444.22
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(444) Arterial embolism and throm~/(444-8) Embolism and thrombosis o~/(444-81) Embolism and thrombosis ~/,ICD9:444.81
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/,ICD9:445
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-0) Of extremities/,ICD9:445.0
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-0) Of extremities/(445-01) Upper extremity/,ICD9:445.01
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-0) Of extremities/(445-02) Atheroembolism of lower e~/,ICD9:445.02
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-8) Of other sites/,ICD9:445.8
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-8) Of other sites/(445-81) Atheroembolism of kidney/,ICD9:445.81
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(445) Atheroembolism/(445-8) Of other sites/(445-89) Atheroembolism of~/,ICD9:445.89
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(446) Polyarteritis nodosa and al~/,ICD9:446
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(446) Polyarteritis nodosa and al~/(446-2) Hypersensitivity angiitis/(446-20) Hypersensitivity angiiti~/,ICD9:446.20
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(446) Polyarteritis nodosa and al~/(446-2) Hypersensitivity angiitis/(446-29) Other specified hypersen~/,ICD9:446.29
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(446) Polyarteritis nodosa and al~/(446-6) Thrombotic microangiopathy/,ICD9:446.6
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(447) Other disorders of arteries~/,ICD9:447
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(447) Other disorders of arteries~/(447-0) Arteriovenous fistula, ac~/,ICD9:447.0
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(447) Other disorders of arteries~/(447-3) Hyperplasia of renal arte~/,ICD9:447.3
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(447) Other disorders of arteries~/(447-4) Celiac artery compression~/,ICD9:447.4
/Diagnoses/Circulatory system (390-459)/Arterial vascular disease (440-447)/(447) Other disorders of arteries~/(447-5) Necrosis of artery/,ICD9:447.5
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(430) Subarachnoid hemorrhage/,ICD9:430
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(432) Other and unspecified intra~/,ICD9:432
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/,ICD9:433
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-0) Occlusion and stenosis of~/(433-00) Occlusion and stenosis o~/,ICD9:433.00
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-0) Occlusion and stenosis of~/(433-01) Occlusion and stenosis o~/,ICD9:433.01
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-1) Occlusion and stenosis of~/(433-10) Occlusion and stenosis o~/,ICD9:433.10
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-1) Occlusion and stenosis of~/(433-11) Occlusion and stenosis o~/,ICD9:433.11
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-2) Occlusion and stenosis of~/(433-20) Occlusion and stenosis o~/,ICD9:433.20
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/,ICD9:437
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-2) Occlusion and stenosis of~/(433-21) Occlusion and stenosis o~/,ICD9:433.21
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-3) Occlusion and stenosis of~/(433-30) Occlusion and stenosis o~/,ICD9:433.30
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-3) Occlusion and stenosis of~/(433-31) Occlusion and stenosis o~/,ICD9:433.31
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-8) Occlusion and stenosis of~/(433-80) Occlusion and stenosis o~/,ICD9:433.80
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-8) Occlusion and stenosis of~/(433-81) Occlusion and stenosis o~/,ICD9:433.81
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-9) Occlusion and stenosis of~/(433-90) Occlusion and stenosis o~/,ICD9:433.90
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(433) Occlusion and stenosis of p~/(433-9) Occlusion and stenosis of~/(433-91) Unspecified precerebral ~/,ICD9:433.91
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/,ICD9:434
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-0) Cerebral thrombosis/,ICD9:434.0
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-0) Cerebral thrombosis/(434-00) Cerebral thrombosis, wit~/,ICD9:434.00
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-0) Cerebral thrombosis/(434-01) Cerebral thrombosis, wit~/,ICD9:434.01
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-1) Cerebral embolism/,ICD9:434.1
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-1) Cerebral embolism/(434-10) Cerebral embolism, witho~/,ICD9:434.10
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-1) Cerebral embolism/(434-11) Cerebral embolism, with ~/,ICD9:434.11
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(434) Occlusion of cerebral arter~/(434-9) Cerebral artery occlusion~/(434-90) Cerebral artery occlusio~/,ICD9:434.90
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/,ICD9:435
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/(435-0) Basilar artery syndrome/,ICD9:435.0
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/(435-1) Vertebral artery syndrome/,ICD9:435.1
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/(435-2) Subclavian steal syndrome/,ICD9:435.2
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/(435-3) Vertebrobasilar artery sy~/,ICD9:435.3
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(435) Transient cerebral ischemia/(435-8) Other specified transient~/,ICD9:435.8
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-1) Other generalized ischemi~/,ICD9:437.1
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-3) Cerebral aneurysm, nonrup~/,ICD9:437.3
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-4) Cerebral arteritis/,ICD9:437.4
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-6) Nonpyogenic thrombosis of~/,ICD9:437.6
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-7) Transient global amnesia/,ICD9:437.7
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(437) Other and ill-defined cereb~/(437-9) Unspecified cerebrovascul~/,ICD9:437.9
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/,ICD9:438
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-1) Speech and language defic~/,ICD9:438.1
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-1) Speech and language defic~/(438-12) Dysphasia as late effect~/,ICD9:438.12
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-2) Hemiplegiahemiparesis as ~/,ICD9:438.2
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-2) Hemiplegiahemiparesis as ~/(438-20) Hemiplegia affecting uns~/,ICD9:438.20
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-2) Hemiplegiahemiparesis as ~/(438-21) Hemiplegia affecting dom~/,ICD9:438.21
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-2) Hemiplegiahemiparesis as ~/(438-22) Hemiplegia affecting non~/,ICD9:438.22
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-3) Monoplegia of upper limb ~/,ICD9:438.3
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-4) Monoplegia of lower limb ~/,ICD9:438.4
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-4) Monoplegia of lower limb ~/(438-40) Monoplegia of lower limb~/,ICD9:438.40
/Diagnoses/Conditions in the perinatal period (760-779)/(765) Disorders relating to short~/(765-2) Weeks of gestation/,ICD9:765.2
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-4) Monoplegia of lower limb ~/(438-41) Monoplegia of lower limb~/,ICD9:438.41
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-5) Other paralytic syndrome ~/,ICD9:438.5
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-5) Other paralytic syndrome ~/(438-51) Other paralytic syndrome~/,ICD9:438.51
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-5) Other paralytic syndrome ~/(438-52) Other paralytic syndrome~/,ICD9:438.52
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-5) Other paralytic syndrome ~/(438-53) Other paralytic syndrome~/,ICD9:438.53
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-6) Alterations of sensations/,ICD9:438.6
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-7) Disturbances of visi~/,ICD9:438.7
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-8) Other late effects of cer~/,ICD9:438.8
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-8) Other late effects of cer~/(438-83) Facial weakness as late~/,ICD9:438.83
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-8) Other late effects of cer~/(438-84) Ataxia as late effect of~/,ICD9:438.84
/Diagnoses/Circulatory system (390-459)/Cerebrovascular disease (430-438)/(438) Late effects of cerebrovasc~/(438-8) Other late effects of cer~/(438-85) Vertigo as late effect ~/,ICD9:438.85
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(394) Diseases of mitral valve/,ICD9:394
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(395) Diseases of aortic valve/,ICD9:395
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(395) Diseases of aortic valve/(395-0) Rheumatic aortic stenosis/,ICD9:395.0
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(395) Diseases of aortic valve/(395-2) Rheumatic aortic stenosis~/,ICD9:395.2
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(396) Diseases of mitral and aort~/,ICD9:396
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(396) Diseases of mitral and aort~/(396-2) Mitral valve insufficienc~/,ICD9:396.2
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(396) Diseases of mitral and aort~/(396-8) Multiple involvement of m~/,ICD9:396.8
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(396) Diseases of mitral and aort~/(396-9) Mitral and aortic valve d~/,ICD9:396.9
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(397) Diseases of other endocardi~/,ICD9:397
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(398) Other rheumatic heart disea~/,ICD9:398
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(398) Other rheumatic heart disea~/(398-9) Other and unspecified rhe~/,ICD9:398.9
/Diagnoses/Circulatory system (390-459)/Chronic Rheumatic heart disease (393-398)/(398) Other rheumatic heart disea~/(398-9) Other and unspecified rhe~/(398-99) Other rheumatic heart di~/,ICD9:398.99
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(415) Acute pulmonary heart disea~/,ICD9:415
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(415) Acute pulmonary heart disea~/(415-0) Acute cor pulmonale/,ICD9:415.0
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(415) Acute pulmonary heart disea~/(415-1) Pulmonary embolism and in~/(415-10) Pulmonary embolism and i~/,ICD9:415.10
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(415) Acute pulmonary heart disea~/(415-1) Pulmonary embolism and in~/(415-11) Iatrogenic pulmonary emb~/,ICD9:415.11
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(415) Acute pulmonary heart disea~/(415-1) Pulmonary embolism and in~/(415-19) Other pulmonary embolism~/,ICD9:415.19
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(416) Chronic pulmonary heart dis~/,ICD9:416
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(416) Chronic pulmonary heart dis~/(416-1) Kyphoscoliotic heart dise~/,ICD9:416.1
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(416) Chronic pulmonary heart dis~/(416-8) Other chronic pulmonary h~/,ICD9:416.8
/Diagnoses/Congenital anomalies (740-759)/(743) Congenital anomalies of eye/,ICD9:743
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(417) Other diseases of pulmonary~/,ICD9:417
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(417) Other diseases of pulmonary~/(417-0) Arteriovenous fistula of ~/,ICD9:417.0
/Diagnoses/Circulatory system (390-459)/Diseases of pulmonary circulation (415-417)/(417) Other diseases of pulmonary~/(417-1) Aneurysm of pulmonary art~/,ICD9:417.1
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(401) Essential hypertension/(401-0) Malignant essential hyper~/,ICD9:401.0
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(401) Essential hypertension/(401-1) Benign essential hyperten~/,ICD9:401.1
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/,ICD9:402
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-0) Malignant hypertensive he~/,ICD9:402.0
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-0) Malignant hypertensive he~/(402-00) Malignant hypertensive h~/,ICD9:402.00
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-0) Malignant hypertensive he~/(402-01) Malignant hypertensive h~/,ICD9:402.01
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-1) Benign hypertensive heart~/,ICD9:402.1
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-1) Benign hypertensive heart~/(402-10) Benign hypertensive hear~/,ICD9:402.10
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-1) Benign hypertensive heart~/(402-11) Benign hypertensive hear~/,ICD9:402.11
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(402) Hypertensive heart disease/(402-9) Unspecified hypertensive ~/(402-91) Unspecified hypertensive~/,ICD9:402.91
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-0) Hypertensive renal diseas~/,ICD9:403.0
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-0) Hypertensive renal diseas~/(403-01) Hypertensive renal disea~/,ICD9:403.01
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-1) Hypertensive renal diseas~/,ICD9:403.1
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-1) Hypertensive renal diseas~/(403-10) Hypertensive renal disea~/,ICD9:403.10
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-1) Hypertensive renal diseas~/(403-11) Hypertensive renal disea~/,ICD9:403.11
/Diagnoses/Congenital anomalies (740-759)/(743) Congenital anomalies of eye/(743-0) Anophthalmos/,ICD9:743.0
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(403) Hypertensive renal disease/(403-9) Hypertensive renal diseas~/(403-91) Hypertensive renal disea~/,ICD9:403.91
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-0) Hypertensive heart and re~/(404-00) Hypertensive heart and r~/,ICD9:404.00
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-0) Hypertensive heart and re~/(404-01) Hypertensive heart and r~/,ICD9:404.01
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-0) Hypertensive heart and re~/(404-02) Hypertensive heart and r~/,ICD9:404.02
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-0) Hypertensive heart and re~/(404-03) Hypertensive heart and r~/,ICD9:404.03
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-1) Hypertensive heart and re~/(404-10) Hypertensive heart and r~/,ICD9:404.10
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-1) Hypertensive heart and re~/(404-11) Hypertensive heart and r~/,ICD9:404.11
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-1) Hypertensive heart and re~/(404-12) Hypertensive heart and r~/,ICD9:404.12
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-1) Hypertensive heart and re~/(404-13) Hypertensive heart and r~/,ICD9:404.13
/Diagnoses/Circulatory system (390-459)/Ischemic heart disease (410-414)/(412) Old myocardial infarction/,ICD9:412
/Diagnoses/Circulatory system (390-459)/Hypertensive disease (401-405)/(404) Hypertensive heart and rena~/(404-9) Hypertensive heart and re~/(404-90) Hypertensive heart and r~/,ICD9:404.90
